"Section","Subsection","Front","Back","Tag"
"02 Linear Algebra","d Subspaces","What are the four fundamental subspaces?  Which of them are disjoint?","Column space Row space Null space Left null space  Row space and null space are disjoint Column space and left null space are disjoint",""
"02 Linear Algebra","d Subspaces","Disjoint Subspaces","Two subspaces [$]\mathcal{S}_1[/$] and [$]\mathcal{S}_2[/$] are disjoint if   [$]\mathcal{S}_1 \cap \mathcal{S}_2 = \emptyset[/$]",""
"02 Linear Algebra","d Subspaces","How does matrix multiplication affect column space?  Namely, if [$]\mathbf{C} = \mathbf{AB}[/$], how does the column space of [$]\mathbf{A}[/$] compare to [$]\mathbf{C}[/$]?","[$]\mathcal{C}(\mathbf{C}) \subseteq \mathcal{C}(\mathbf{A})[/$]",""
"02 Linear Algebra","d Subspaces","How does matrix multiplication affect row space?  Namely, if [$]\mathbf{C} = \mathbf{AB}[/$], how does the column space of [$]\mathbf{B}[/$] compare to [$]\mathbf{C}[/$]?","[$]\mathcal{R}(\mathbf{C}) \subseteq \mathcal{R}(\mathbf{B})[/$]",""
"02 Linear Algebra","d Subspaces","How does matrix multiplication affect null space?  Namely, if [$]\mathbf{C} = \mathbf{AB}[/$], how does the null space of [$]\mathbf{B}[/$] compare to [$]\mathbf{C}[/$]?","[$]\mathcal{N}(\mathbf{B}) \subseteq \mathcal{N}(\mathbf{C})[/$]",""
"02 Linear Algebra","d Subspaces","What is the null space of a Gram Matrix?  [$]\mathcal{N}(\mathbf{A'A}) = ?[/$]","[$]\mathcal{N}(\mathbf{A'A}) = \mathcal{N}(\mathbf{A})[/$]",""
"02 Linear Algebra","d Subspaces","Basis of a subspace","A set of linearly independent vectors that span a vector space [$]\mathcal{S}[/$]",""
"02 Linear Algebra","e Rank and Nullity","How does rank[$](\mathbf{AB})[/$] relate to rank[$](\mathbf{A})[/$] and rank[$](\mathbf{B})[/$]?","[$]rank(\mathbf{AB}) \leq min(rank(\mathbf{A}), rank(\mathbf{B}))[/$]","2_Linear_Algebra"
"02 Linear Algebra","e Rank and Nullity","Rank of a matrix","The rank of [$]\mathbf{A}[/$] is the number of linearly independent columns of [$]\mathbf{A}[/$].  [$]\text{rank}(\mathbf{A}) = \text{dim}(\mathcal{C}(A))[/$]",""
"02 Linear Algebra","e Rank and Nullity","Rank nullity theorem","Rank + null of a matrix equals the number of columns.  For [$]m \times n[/$] matrix [$]\mathbf{A}[/$], [$]\text{rank}(\mathbf{A}) + \text{null}(\mathbf{A}) = n[/$]",""
"02 Linear Algebra","e Rank and Nullity","How does rank[$](\mathbf{AB})[/$] compare to rank[$](\mathbf{A})[/$] and rank[$](\mathbf{B})[/$]?","[$]\text{rank}(\mathbf{AB}) \leq \text{min} (\text{rank}(\mathbf{A}), \text{rank}(\mathbf{B})[/$]",""
"02 Linear Algebra","e Rank and Nullity","Prove that  [$]\text{rank}(\mathbf{A}) = \text{rank}(\mathbf{A'}) = \text{rank}(\mathbf{A'A}) = \text{rank}(\mathbf{AA'})[/$]","",""
"02 Linear Algebra","e Rank and Nullity","Prove that column rank equals row rank","Rank factorization theorem",""
"02 Linear Algebra","e Rank and Nullity","What does it mean for a matrix to be full rank?","When [$]\text{rank}(\mathbf{A}) = \text{min}(m,n)[/$]",""
"02 Linear Algebra","e Rank and Nullity","What effect does matrix multiplication have on rank?  Namely, how do [$]\text{rank}(\mathbf{A})[/$] and [$]\text{rank}(\mathbf{AB})[/$] compare?","[$]\text{rank}(\mathbf{AB}) \leq \text{rank}(\mathbf{A})[/$]",""
"02 Linear Algebra","e Rank and Nullity","When does   [$]\text{rank}(\mathbf{AB}) = \text{rank}(\mathbf{A})[/$]?  [$]\text{rank}(\mathbf{AB}) = \text{rank}(\mathbf{B})[/$]?","[$]\text{rank}(\mathbf{AB}) = \text{rank}(\mathbf{A})[/$] when [$]\mathbf{B}[/$] has full row rank  [$]\text{rank}(\mathbf{AB}) = \text{rank}(\mathbf{B})[/$] when [$]\mathbf{A}[/$] has full column rank",""
"02 Linear Algebra","e Rank and Nullity","Rank Factorization of [$]\mathbf{A} \in \mathbb{R}^{m \times n}[/$]  where [$]\mathbf{A}[/$] has rank r.","[$]\mathbf{A} = \mathbf{CR}[/$] where  [$]\mathbf{C} \in \mathbb{R}^{m \times r}[/$]  [$]\mathbf{R} \in \mathbb{R}^{r \times n}[/$]",""
"02 Linear Algebra","f Inverse","Definition of matrix inverse","Matrix [$]\mathbf{A}[/$] has an inverse [$] \mathbf{A}^{-1}[/$] when  [$]\mathbf{AA}^{-1} = \mathbf{A}^{-1}\mathbf{A} = \mathbf{I}[/$]",""
"02 Linear Algebra","f Inverse","When does a matrix have an inverse?","It is a square matrix with full rank.",""
"02 Linear Algebra","f Inverse","Definition of left inverse","[$] \mathbf{B}[/$] is the left inverse of [$]\mathbf{A}[/$] if   [$] \mathbf{BA} = \mathbf{I}[/$]",""
"02 Linear Algebra","f Inverse","Definition of right inverse","[$] \mathbf{B}[/$] is the right inverse of [$]\mathbf{A}[/$] if   [$] \mathbf{AB} = \mathbf{I}[/$]",""
"02 Linear Algebra","f Inverse","What is the inverse of an orthonormal matrix?","[$]\mathbf{A}^{-1} = \mathbf{A}'[/$]",""
"02 Linear Algebra","f Inverse","Prove that  [$](\mathbf{A}')^{-1} = (\mathbf{A}^{-1})'[/$]","[$](\mathbf{A}')^{-1} \mathbf{A}' = \mathbf{I} = \left[(\mathbf{A}')^{-1} \mathbf{A}'\right]'[/$]  [$] = \mathbf{A} (\mathbf{A}')^{-1}'[/$]  Then, we get that  [$] (\mathbf{A}')^{-1}' = \mathbf{A}^{-1}[/$]  Finally, invert both sides to get  [$] (\mathbf{A}')^{-1} = (\mathbf{A}^{-1})'[/$]",""
"02 Linear Algebra","f Inverse","What is the inverse of a matrix product?  [$] (\mathbf{AB})^{-1} = ?[/$]","[$] (\mathbf{AB})^{-1} = \mathbf{B}^{-1} \mathbf{A}^{-1}[/$]",""
"02 Linear Algebra","f Inverse","[OVERLY DETERMINED SYSTEMS]  For full rank tall matrix [$]\mathbf{A}[/$], it has infinitely many left inverses, [$]\mathbf{X}[/$]:  [$]\mathbf{Ax} = \mathbf{b}[/$]  [$] \mathbf{XAx} = \mathbf{Xb}[/$]  [$] \mathbf{x} = \mathbf{Xb}[/$]  Regardless of what left inverse we use, [$]\mathbf{Xb}[/$] will always give us the same solution. Why? Prove it.","??",""
"02 Linear Algebra","f Inverse","LU Decomposition  1) What is it? 2) What is the algorithm to do it?","1) For any nonsingular square matrix [$]\mathbf{A}[/$], we can express it as   [$]\mathbf{A} = \mathbf{LU}[/$]   where [$] \mathbf{L}[/$] is unit lower triangular and [$]\mathbf{U}[/$] is upper traingular.   2) Algorithmically, it is achived from Gaussian Elimination.",""
"02 Linear Algebra","f Inverse","Generalized Inverse","[$]\mathbf{G}[/$] is a generalized inverse of a matrix [$]\mathbf{A}[/$] if it satisfies the following:  [$]\mathbf{AGA} = \mathbf{A}[/$]",""
"02 Linear Algebra","f Inverse","Moore-Penrose Inverse","[$]\mathbf{G}[/$] is the Moore-Penrose Inverse of [$]\mathbf{A}[/$] if it satisfies the following:  [$]\mathbf{AGA} = \mathbf{A}[/$]  [$]\mathbf{GAG} = \mathbf{G}[/$]  [$](\mathbf{AG})' = \mathbf{AG}[/$]  [$](\mathbf{GA})' = \mathbf{GA}[/$]  We denote the Moore-Penrose Inverse as [$]\mathbf{A}^+[/$] '",""
"02 Linear Algebra","g Orthogonal Projections","Dimension of a sum of subspaces","[$]\text{dim}(\mathcal{S}_1 + \mathcal{S}_2) = \text{dim}(\mathcal{S}_1) + \text{dim}(\mathcal{S}_2) - \text{dim}(\mathcal{S}_1 \cap \mathcal{S}_2)[/$]",""
"02 Linear Algebra","g Orthogonal Projections","Complementary Subspaces","Two subspaces [$]\mathcal{S}_1[/$] and [$]\mathcal{S}_2[/$] are complimentary when  [$]\mathcal{S}_1 \cap \mathcal{S}_2 = \{\textbf{0}\}[/$]",""
"02 Linear Algebra","g Orthogonal Projections","Direct Sum of subspaces: [$]\oplus [/$]","A direct sum can be performed on two subspaces when they are complimentary. They form a new subspace.  [$]\mathcal{V} = \mathcal{S}_1 \oplus \mathcal{S}_2[/$]",""
"02 Linear Algebra","g Orthogonal Projections","Unique decomposition property of direct sums.  [$]\mathcal{V} = \mathcal{S}_1 \oplus \mathcal{S}_2[/$]","Any vector [$]\mathbf{x} \in \mathcal{V}[/$] can be uniquely expressed as   [$]\mathbf{x} = \mathbf{x}_1 + \mathbf{x}_2[/$]   where   [$]\mathbf{x}_1 \in \mathcal{S}_1[/$] and [$]\mathbf{x}_2 \in \mathcal{S}_2[/$]",""
"02 Linear Algebra","g Orthogonal Projections","Orthocomplement set of a set [$]\mathcal{X}[/$]","[$]\mathcal{X}^{\perp} = \{\mathbf{u} \in \mathcal{V} : \langle \mathbf{x}, \mathbf{u} \rangle =  0 \text{for all} \mathbf{x} \in \mathcal{X}\}[/$]",""
"02 Linear Algebra","g Orthogonal Projections","Direct sum theorem for orthocomplementary subspaces  Let [$]\mathcal{S}[/$] be a subspace of vector space [$]\mathcal{V}[/$].   What can we say about [$]\mathcal{S}[/$] and [$]\mathcal{S}^{\perp}[/$]?","[$]\mathcal{V} = \mathcal{S} \oplus \mathcal{S}^{\perp}[/$] ------------------------- Every vector [/$]\mathbf{x} \in \mathcal{V}[/$] can be uniquely expressed as [$]\mathbf{x} = \mathbf{u} + \mathbf{v}[/$] where:  [$] \mathbf{u} \in \mathcal{S} \text{ and } \mathbf{v} \in \mathcal{S}[/$] ----------- [$]\mathcal{S} \cap \mathcal{S}^{\perp} = \{\textbf{0}\}[/$]",""
"02 Linear Algebra","g Orthogonal Projections","Fundamental Theorem of Linear Algebra  How do the four fundamental subspaces relate to each other?","Let [$]\mathbf{A} \in \mathbb{R}^{m \times n}[/$]  [$]\mathcal{C}(\mathbf{A})^{\perp} = \mathcal{N}(\mathbf{A}')[/$] and therefore [$]\mathcal{C}(\mathbf{A}) \oplus \mathcal{N}(\mathbf{A}') = \mathbf{R}^m[/$]  [$]\mathcal{C}(\mathbf{A}') = \mathcal{N}(\mathbf{A})^{\perp}[/$] and therefore [$]\mathcal{C}(\mathbf{A}') \oplus \mathcal{N}(\mathbf{A}) = \mathbf{R}^n[/$]",""
"02 Linear Algebra","g Orthogonal Projections","What is an orthogonal projection?  Let [$] \mathbf{y} \in \mathcal{V}[/$]. What is the orthogonal projection of [$]\mathbf{y}[/$] into a subspace [$]\mathcal{S}[/$]?","Let [$]\mathbf{u} \in \mathcal{S}[/$] be the orthogonal projection of [$]\mathbf{y}[/$] into [$]\mathcal{S}[/$].  Then:  [$]||\mathbf{y} - \mathbf{u}||^2 \leq ||\mathbf{y} - \mathbf{w}||^2[/$]  for all [$]\mathbf{w} \in \mathcal{S}[/$].",""
"02 Linear Algebra","g Orthogonal Projections","Orthogonal Projection Matrix","For vector [$]\mathbf{y}[/$] and subspace [$]\mathcal{S}[/$], the orthogonal projection matrix [$]\mathbf{P}[/$] relates:  [$] \mathbf{Py} = \mathbf{u}[/$]  where [$]\mathbf{u}[/$] is the orthogonal projection of [$]\mathbf{y}[/$] into [$]\mathcal{S}[/$].",""
"02 Linear Algebra","g Orthogonal Projections","Prove that the orthogonal projection matrix exists and is unique.","???",""
"02 Linear Algebra","g Orthogonal Projections","Construction of orthogonal projection matrix.  Start with an orthonormal basis [$]\mathbf{q_1}, \ldots, \mathbf{q}_r[/$] for subspace [$]\mathcal{S}[/$].","[$]\mathbf{P} = \mathbf{QQ'}[/$]   where  [$]\mathbf{Q}[/$] is the matrix consisting of column vectors of the basis.  OR  [$]\mathbf{P} = \mathbf{X}(\mathbf{X'X})^- \mathbf{X}'[/$]",""
"02 Linear Algebra","g Orthogonal Projections","Prove that any symmetric, idempotent matrix [$]\mathbf{P}[/$] is the orthogonal projector into [$]\mathcal{C}(\mathbf{P})[/$]","For any [$]\mathbf{x} \in \mathbb{R}^n[/$], let [$]\mathbf{x} = \mathbf{v} + \mathbf{w}[/$] where [$]\mathbf{v} \in \mathcal{C}(\mathbf{P})[/$] and   [$]\mathbf{w} \in \mathcal{C}(\mathbf{P})^{\perp} = \mathcal{N}(\mathbf{P}') = \mathcal{N}(\mathbf{P})[/$]  Then, we see that [$]\mathbf{v} = \mathbf{Pu}[/$] for some u.  Then, [$] \mathbf{Px} = \mathbf{Pv} + \mathbf{Pw} = \mathbf{PPu} + \mathbf{Pw} = \mathbf{Pu} + \mathbf{Pw} = \mathbf{v} + 0 = \mathbf{v}[/$]  Thus, [$]\mathbf{P}[/$] is the orthogonal projector into [$]\mathcal{C}(\mathbf{P})[/$].",""
"02 Linear Algebra",NA,"What are [$]\sum_{i=1}^n \lambda_i[/$] and [$]\prod_{i=1}^n \lambda_i[/$]?","[$] tr(\mathbf{A}) = \sum_{i=1}^n \lambda_i[/$]  [$] det(\mathbf{A}) = \prod_{i=1}^n \lambda_i [/$]","2_Linear_Algebra"
"02 Linear Algebra",NA,"What is the spectral decomposition of a symmetric [$]n \times n[/$] matrix [$]\mathbf{A}[/$]","[$] \mathbf{A} = T \boldsymbol{\Lambda} T'[/$]","2_Linear_Algebra"
"02 Linear Algebra",NA,"What are the eigenvalues of [$]\mathbf{A}^{-1}[/$]?","If the eigenvalues of [$]\mathbf{A} = \lambda_i[/$],  then the eigenvalues of [$]\mathbf{A}^{-1} = \lambda_i^{-1}[/$]","2_Linear_Algebra"
"3 Multivariate Statistics (250A)","a Random Vectors","Expectation of a random vector","Expectation of a random vector is just the vector of the individual expectations:  [$]\mathbb{E}[\mathbf{x}] = \begin{bmatrix} \mathbb{E}[x_1]\\ \mathbb{E}[x_2]\\ \vdots\\ \mathbb{E}[x_n]\\ \end{bmatrix}[/$]",""
"3 Multivariate Statistics (250A)","a Random Vectors","Expectation of a linear combination of a random matrix.  [$]\mathbb{E}[\mathbf{AZB} + \mathbf{C}] = ?[/$]  where [$]\mathbf{A}, \mathbf{B}, \mathbf{C}[/$] are constant matrices and [$]\mathbf{Z}[/$] is a random matrix.","[$]\mathbb{E}[\mathbf{AZB} + \mathbf{C}] = \mathbf{A} \mathbb{E}[\mathbf{Z}] \mathbf{Z} + \mathbf{C}[/$]",""
"3 Multivariate Statistics (250A)","a Random Vectors","Covariance of two random vectors.  [$]\text{Cov}(\mathbf{x}, \mathbf{y}) = ?[/$]","[$]\text{Cov}(\mathbf{x}, \mathbf{y}) = (\text{cov}[x_i, y_j])[/$]  More colloquially, we get a ""covariance matrix"" that describes the individual covariances between entries of the random vectors.",""
"3 Multivariate Statistics (250A)","a Random Vectors","Variance of a random vector.  [$]\text{Var}(\mathbf{x}, \mathbf{x}) = ?[/$]","[$]\text{Var}(\mathbf{x}, \mathbf{x}) = \begin{bmatrix} \text{var}(x_1) & cov(x_1, x_2) & \cdots & cov(x_1, x_n)\\ cov(x_2, x_1) & var(x_2) & \cdots & cov(x_2, x_n)\\ \vdots & \vdots & \ddots & \vdots\\ cov(x_n, x_1) & cov(x_n, x_2) & \cdots & var(x_n)\\ \end{bmatrix}[/$]  Also called the covariance matrix of [$]\mathbf{x}[/$]",""
"3 Multivariate Statistics (250A)","a Random Vectors","[$]\text{var}(\mathbf{x} - \mathbf{a}) = ? [/$]","[$]\text{var}(\mathbf{x} - \mathbf{a}) = \text{var}(\mathbf{x})[/$]",""
"3 Multivariate Statistics (250A)","a Random Vectors","[$]\text{Cov}(\mathbf{AX}, \mathbf{BY}) = ? [/$]  where [$]\mathbf{A}, \mathbf{B}[/$] are constant matrices and [$]\mathbf{X}, \mathbf{Y}[/$] are random matrices.","[$]\text{Cov}(\mathbf{AX}, \mathbf{BY}) = \mathbf{A} \text{Cov}(\mathbf{X}, \mathbf{Y}) \mathbf{B}'[/$]",""
"3 Multivariate Statistics (250A)","a Random Vectors","[$]\text{Var}(\mathbf{AX}) = ?[/$]  where [$]\mathbf{A}[/$] is a constant matrix and [$]\mathbf{X}[/$] is a random matrix","[$]\text{Var}(\mathbf{AX}) = \mathbf{A} \text{Var}(\mathbf{X}) \mathbf{A}'[/$]",""
"3 Multivariate Statistics (250A)","a Random Vectors","[$]\text{Cov}(a \mathbf{X} + b \mathbf{Y}, c \mathbf{U} + d \mathbf{V} = ? [/$]","[$]\text{Cov}(a \mathbf{X} + b \mathbf{Y}, c \mathbf{U} + d \mathbf{V} =  ac \text{Cov}(\mathbf{X}, \mathbf{U}) + ad \text{Cov}(\mathbf{X}, \mathbf{V}) + bc \text{Cov}(\mathbf{Y}, \mathbf{U}) + bd \text{Cov}(\mathbf{Y}, \mathbf{V})[/$]",""
"3 Multivariate Statistics (250A)","a Random Vectors","[$]\text{Var}(a \mathbf{X} + b \mathbf{Y}) = ?[/$]","[$]\text{Var}(a \mathbf{X} + b \mathbf{Y}) = a^2 \text{Var}(\mathbf{X}) + 2ab \cov{(\mathbf{X}, \mathbf{Y})} + b^2 \var{(\mathbf{Y})}[/$]",""
"3 Multivariate Statistics (250A)","a Random Vectors","Expectation of a quadratic form:  [$]\mathbb{E}[\mathbf{x}' \mathbf{Ax}] = ?[/$]","[$]\mathbb{E}[\mathbf{x}' \mathbf{Ax}] = \text{tr}(\mathbf{A} \boldsymbol{\Sigma} + \boldsymbol{\mu}' \mathbf{A} \boldsymbol{\mu}[/$]  where [$]\mathbb{E}[\mathbf{x}] = \boldsymbol{\mu}[/$] and [$]\var{(\mathbf{x})} = \boldsymbol{\Sigma}[/$]",""
"3 Multivariate Statistics (250A)","a Random Vectors","How can moment generating functions prove independence between two random vectors?","If we have random vectors [$]\mathbf{x}_1, \mathbf{x}_2[/$], and we stack them to make [$]\mathbf{x}[/$], then they are independent if we can show that  [$]M_{\mathbf{x}}(\mathbf{t}) = M_{\mathbf{x}}(t_1, \ldots, t_r, 0, \ldots, 0) M_{\mathbf{x}}(0, \ldots, 0, t_{r+1}, \ldots, t_n)[/$]  Or, we can show that the mgf simplifies to:  [$]M_{\mathbf{x}(\mathbf{t}) = a(t_1, \ldots, t_r) \cdot b(t_1, \ldots, t_r)[/$]  for some functions a() and b().",""
"3 Multivariate Statistics (250A)","a Random Vectors","Moment generating function (MGF) for a random vector","[$]M_{\mathbf{x}(\mathbf{t}) = \mathbb{E}\left[\exp{(\mathbf{t'x})}\right][/$]",""
"3 Multivariate Statistics (250A)","b Multivariate Normal Distribution","Expectation and variance of a multivariate normal random variable","[$]\mathbb{E}[\mathbf{x}] = \boldsymbol{\mu}[/$]  [$]\var{(\mathbf{x})} = \boldsymbol{\Sigma}[/$]",""
"3 Multivariate Statistics (250A)","b Multivariate Normal Distribution","How can we transform a multivariate normal distribution into a standard multivariate normal distribution?  [$]\mathbf{x} \sim \mathcal{N}(\boldsymbol{\mu}, \boldsymbol{\Sigma})[/$]  How can we obtain [$]\mathbf{z} \sim \mathcal{N}(\mathbf{0}, \mathbf{I})[/$]?","[$]\mathbf{z} = \boldsymbol{\Sigma}^{-\frac{1}{2}} (\mathbf{x} - \boldsymbol{\mu}) \sim \mathcal{N}(\mathbf{0}, \mathbf{I})[/$]",""
"3 Multivariate Statistics (250A)","b Multivariate Normal Distribution","What is the MGF of  [$]\mathbf{z} \sim \mathcal{N}(\mathbf{0}, \mathbf{I})[/$]  and   [$]\mathbf{x} \sim \mathcal{N}(\boldsymbol{\mu}, \boldsymbol{\Sigma})[/$]","[$]M_{\mathbf{z}}(\mathbf{t}) = \exp{(\frac{1}{2}\mathbf{t't})}[/$]  [$]M_{\mathbf{x}}(\mathbf{t}) = \exp{(\mathbf{t}' \boldsymbol{\mu} + \frac{1}{2} \mathbf{t}' \boldsymbol{\Sigma} \mathbf{t})}[/$]",""
"3 Multivariate Statistics (250A)","b Multivariate Normal Distribution","Let [$]\mathbf{x} \sim \mathcal{N}(\boldsymbol{\mu}, \boldsymbol{\Sigma})[/$] and [$]\mathbf{C}, \mathbf{d}[/$] be a constant matrix and a constant vector respectively.   [$]\mathbf{C}\mathbf{x} + \mathbf{d} \sim ?[/$]","[$]\mathbf{C}\mathbf{x} + \mathbf{d} \sim \mathcal{N}(\mathbf{C} \boldsymbol{\mu} + \mathbf{d}, \mathbf{C} \boldsymbol{\Sigma} \mathbf{C}')[/$]",""
"3 Multivariate Statistics (250A)","b Multivariate Normal Distribution","How are two multivariate normal distributions independent?","Two multivariate normal distributions are independent if and only if their covariance matrix is 0.  The proof involves the MGF.",""
"3 Multivariate Statistics (250A)","b Multivariate Normal Distribution","Let [$]\mathbf{y} \sim \mathcal{N}(\boldsymbol{\mu}, \boldsymbol{\Sigma})[/$]   Let [$]\mathbf{u} = \mathbf{Ay}[/$] and [$]\mathbf{v} = \mathbf{By}[/$].  When is [$]\mathbf{u} \perp \mathbf{v}[/$]?","[$]\mathbf{u} \perp \mathbf{v}[/$]  if and only if  [$]\cov{(\mathbf{u}, \mathbf{v})} = \mathbf{A} \boldsymbol{\Sigma} \mathbf{B}' = 0[/$]",""
"3 Multivariate Statistics (250A)","b Multivariate Normal Distribution","Prove that if [$]\mathbf{y} \sim \mathcal{N}(\mathbf{0}, \mathbf{I}),   and if [$]\mathbf{A}[/$] is a symmetric matrix  then [$]\mathbf{y}' \mathbf{Ay} \sim \chi^2_r [/$] if and only if [$]\mathbf{A}[/$] is idempotent with rank r.","We utilize the property of idempotent matrices. An idempotent matrix of rank r must have r eigenvalues equal to 1 and the rest 0. Then:  [$]\mathbf{T'AT} = \mathbf{D}[/$] with r 1's and the rest 0. Then:  [$]\mathbf{y'Ay} = \mathbf{y'TDT'y} = \mathbf{z'Dz} = \sum_{i=1}^n d_i [/$]  ???",""
"3 Multivariate Statistics (250A)","b Multivariate Normal Distribution","Show that   [$]\frac{(n-1)S^2}{\sigma^2} \sim \chi^2_{n-1}[/$]  for a sample of n iid normally distributed observations","???",""
"3 Multivariate Statistics (250A)","b Multivariate Normal Distribution","Hogg Craig Theorem","???",""
"3 Multivariate Statistics (250A)","b Multivariate Normal Distribution","If [$]\mathbf{y} \sim \mathcal{N}(\mathbf{0}, \boldsymbol{\Sigma})[/$]   when is [$]\mathbf{y'Ay} \sim \chi^2_{r}[/$]?","[$]\mathbf{y'Ay} \sim \chi^2_{r}[/$]  if and only if   [$]\mathbf{A}\boldsymbol{\Sigma}[/$] has r eigenvalues equal to 1 and the rest are 0.  [Theorem 2.8]",""
"3 Multivariate Statistics (250A)","b Multivariate Normal Distribution","Let [$]\mathbf{y} \sim \mathcal{N}(\boldsymbol{\mu}, \boldsymbol{\Sigma})[/$]   prove [$]Q = (\mathbf{y} - \boldsymbol{\mu})' \boldsymbol{\Sigma}^{-1} (\mathbf{y} - \boldsymbol{\mu}) \sim \chi^2_n[/$]","Let [$]\mathbf{y} = \boldsymbol{\Sigma}^{\frac{1}{2}} \mathbf{z} + \boldsymbol{\mu}[/$] for standard multivariate normal random variable z.  Then, we get   [$]Q = \mathbf{z}' \boldsymbol{\Sigma}^{\frac{1}{2}} \boldsymbol{\Sigma}^{-1} \boldsymbol{\Sigma}^{\frac{1}{2}} \mathbf{z} = \mathbf{z'z} = \sum_{i=1}^n z_i^2[/$]  and since the [$]z_i[/$]'s are independent [$]\chi^2_1[/$] variables, [$]Q \sim \chi^2_n[/$]",""
"3 Multivariate Statistics (250A)","c Least Squares Theory","Write the OLS model","[$]\mathbf{y} = \mathbf{X} \boldsymbol{\beta} + \boldsymbol{\varepsilon}[/$]  where [$]\varepsilon_i \sim \mathcal{N}(0, \sigma^2)[/$] are iid",""
"3 Multivariate Statistics (250A)","c Least Squares Theory","Write the normal equations for least squares   interpret them","[$]\mathbf{X'X} \boldsymbol{\beta} = \mathbf{X}' \mathbf{y}[/$]  --------------------------------------------------------------------------------------  Let [$]\boldsymbol{\theta}[/$] be the best estimate of [$]\mathbf{y}[/$] in the subspace that can be achieved by [$]\mathbf{X}[/$]. That is:  [$]\boldsymbol{\theta} = \mathbf{X} \boldsymbol{\beta}[/$]. Then we get  [$]\hat{\boldsymbol{\theta}} = \mathbf{Py}, \mathbf{P}\boldsymbol{\theta} = \boldsymbol{\theta}[/$]  Then, notice that [$]\mathbf{y} - \hat{\boldsymbol{\theta}}[/$] is perpentdicular to [$]\mathbf{X}[/$]. Thus:  [$]\mathbf{X}' (\mathbf{y} - \hat{\boldsymbol{\theta}}) = \mathbf{0}[/$]  [$]\mathbf{X}' \hat{\boldsymbol{\theta}} = \mathbf{X'y}[/$]  [$]\mathbf{X'X} \boldsymbol{\beta} = \mathbf{X}' \mathbf{y}[/$]",""
"3 Multivariate Statistics (250A)","c Least Squares Theory","What is the least squares estimate of [$]\hat{\boldsymbol{\beta}}[/$]?","[$]\hat{\boldsymbol{\beta}} = (\mathbf{X'X})^{-1} \mathbf{X'y}[/$]",""
"3 Multivariate Statistics (250A)","c Least Squares Theory","Find the formula for the residuals in OLS. Utilize the projection matrix.  [$]\mathbf{e} = ?[/$]","[$]\mathbf{e} = \mathbf{y} - \hat{\mathbf{y} = \mathbf{y} - \mathbf{X} \boldsymbol{\beta} = (\mathbf{I} - \mathbf{P}) \mathbf{y}[/$]",""
"3 Multivariate Statistics (250A)","c Least Squares Theory","Find the formula for the residual sum of squares (RSS) in OLS. Utilize the projection matrix.  [$]\mathbf{e'e} = ?[/$]","[$]\mathbf{e'e} = (\mathbf{y} - \hat{\mathbf{y}})'  (\mathbf{y} - \hat{\mathbf{y}})[/$]  [$] = (\mathbf{y} - \mathbf{X} \hat{\boldsymbol{\beta}})' (\mathbf{y} - \mathbf{X} \hat{\boldsymbol{\beta}})[/$]  [$] = \mathbf{y}'(\mathbf{I} - \mathbf{P}) \mathbf{y}[/$]",""
"3 Multivariate Statistics (250A)","c Least Squares Theory","Prove that [$]\hat{\boldsymbol{\theta}} = \mathbf{X} \hat{\boldsymbol{\beta}}[/$] is unique irrespective of the rank of X.","???  Something to do with over-specified systems having at most one solution if at all.",""
"3 Multivariate Statistics (250A)","c Least Squares Theory","What is the formula for the projection matrix in OLS?  [$]\mathbf{P} = ?[/$]","[$]\mathbf{P} = \mathbf{X}(\mathbf{X'X})^{-1} \mathbf{X}'[/$]",""
"3 Multivariate Statistics (250A)","c Least Squares Theory","If [$]\mathbf{X}[/$] is a full rank design matrix, prove that  [$] \sum_{i=1}^n (y_i - \hat{y}_i) = 0[/$]","[$] \sum_{i=1}^n (y_i - \hat{y}_i) = \mathbf{1}' (\mathbf{y} - \hat{\mathbf{y}})[/$]  However, since [$]\mathbf{1} \in \mathcal{C}(\mathbf{X})[/$], then the residuals are orthgonal to the one vector.  Therefore, their inner product is zero.",""
"3 Multivariate Statistics (250A)","c Least Squares Theory","In OLS, what is the expectation and variance of [$]\hat{\boldsymbol{\beta}}[/$]?","[$]\mathbb{E}[\hat{\boldsymbol{\beta}}] = \boldsymbol{\beta}[/$]  [$]\var{(\hat{\boldsymbol{\beta}})} = \sigma^2 (\mathbf{X'X})^{-1}[/$]",""
"3 Multivariate Statistics (250A)","c Least Squares Theory","What is BLUE?","Best linear unbiased estimator.  But what does it mean??? ???",""
"3 Multivariate Statistics (250A)","c Least Squares Theory","In OLS, what is the unbiased estimator of [$]\sigma^2[/$]?  Prove that it's unbiased.","[$]S^2 = \frac{RSS}{n-r}[/$]  where [$]\mathbf{X}[/$] is rank r. It doesn't have to be full rank.  Then, from quadratic forms, we see that  [$](n-r)S^2 = \mathbf{y}' (\mathbf{I} - \mathbf{P}) \mathbf{y}[/$]  and from the expectation of quadratic forms, we see that  [$]\mathbb{E}[\mathbf{y}' (\mathbf{I} - \mathbf{P}) \mathbf{y}] = \sigma^2 (n-r)[/$]  and thus [$]S^2[/$] is unbiased",""
